Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Capacitor Type,3dviewer Link
C_KGM31HR71H823KU,C,82 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H823KU,CAP SMD 82 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H823KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H823KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
C_KGM31HR71H104KU,C,100 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H104KU,CAP SMD 100 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H104KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H104KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
C_KGM31HR71H124KU,C,120 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H124KU,CAP SMD 120 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H124KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H124KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
C_KGM31HR71H154KU,C,150 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H154KU,CAP SMD 150 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H154KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H154KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
C_KGM31HR71H224KU,C,220 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H224KU,CAP SMD 220 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H224KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H224KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
C_KGM31HR71H334KU,C,330 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H334KU,CAP SMD 330 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H334KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H334KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
C_KGM31HR71H474KU,C,470 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H474KU,CAP SMD 470 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H474KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H474KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
C_KGM31HR71H684KU,C,680 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H684KU,CAP SMD 680 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H684KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H684KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
C_KGM31HR71H105KU,C,1 µF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H105KU,CAP SMD 1 µF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H105KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H105KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
C_KGM31HR71H225KU,C,2.2 µF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H225KU,CAP SMD 2.2 µF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H225KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H225KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
C_KGM31HR71H475KU,C,4.7 µF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H475KU,CAP SMD 4.7 µF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H475KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H475KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
C_KGM31HR71H106KU,C,10 µF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H106KU,CAP SMD 10 µF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H106KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H106KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
