Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search
R_ERJ-P06F47R5V,R,47.5 Ω,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf,RES SMD 47.5 Ω 1% 0805 400V,Panasonic,ERJ-P06F47R5V,1%,100 ppm/°C,400V,0805,2012,ERJ-P06F,https://www.trustedparts.com/en/search/ERJ-P06F47R5V
R_ERJ-P03F47R5V,R,47.5 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf,RES SMD 47.5 Ω 1% 0603 150V,Panasonic,ERJ-P03F47R5V,1%,150 ppm/°C,150V,0603,1608,ERJ-P03F,https://www.trustedparts.com/en/search/ERJ-P03F47R5V
R_RT0805BRB0747R5L,R,47.5 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRB0747R5L,RES SMD 47.5 Ω 0.1% 0805 150V,Yageo,RT0805BRB0747R5L,0.1%,10 ppm/°C,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB0747R5L
R_RT0805BRC0747R5L,R,47.5 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRC0747R5L,RES SMD 47.5 Ω 0.1% 0805 150V,Yageo,RT0805BRC0747R5L,0.1%,15 ppm/°C,150V,0805,2012,RT0805BRC07,https://www.trustedparts.com/en/search/RT0805BRC0747R5L
R_RT0805BRD0747R5L,R,47.5 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD0747R5L,RES SMD 47.5 Ω 0.1% 0805 150V,Yageo,RT0805BRD0747R5L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD0747R5L
R_RT0805BRE0747R5L,R,47.5 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRE0747R5L,RES SMD 47.5 Ω 0.1% 0805 150V,Yageo,RT0805BRE0747R5L,0.1%,50 ppm/°C,150V,0805,2012,RT0805BRE07,https://www.trustedparts.com/en/search/RT0805BRE0747R5L
R_RT0805DRE0747R5L,R,47.5 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE0747R5L,RES SMD 47.5 Ω 0.5% 0805 150V,Yageo,RT0805DRE0747R5L,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE0747R5L
R_RT0805FRE0747R5L,R,47.5 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805FRE0747R5L,RES SMD 47.5 Ω 1% 0805 150V,Yageo,RT0805FRE0747R5L,1%,50 ppm/°C,150V,0805,2012,RT0805FRE07,https://www.trustedparts.com/en/search/RT0805FRE0747R5L
R_RT0805FRD0747R5L,R,47.5 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805FRD0747R5L,RES SMD 47.5 Ω 1% 0805 150V,Yageo,RT0805FRD0747R5L,1%,25 ppm/°C,150V,0805,2012,RT0805FRD07,https://www.trustedparts.com/en/search/RT0805FRD0747R5L
R_RT1206FRE0747R5L,R,47.5 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE0747R5L,RES SMD 47.5 Ω 1% 1206 200V,Yageo,RT1206FRE0747R5L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE0747R5L
R_AA0805FR-0747R5L,R,47.5 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=AA0805FR-0747R5L,RES SMD 47.5 Ω 1% 0805 150V,Yageo,AA0805FR-0747R5L,1%,25 ppm/°C,150V,0805,2012,AA0805FR-07,https://www.trustedparts.com/en/search/AA0805FR-0747R5L
R_ERJ-2RKF48R7X,R,48.7 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 48.7 Ω 1% 0402 50V,Panasonic,ERJ-2RKF48R7X,1%,100 ppm/°C,50V,0402,1005,ERJ-2RKF,https://www.trustedparts.com/en/search/ERJ-2RKF48R7X
R_ERJ-3EKF48R7V,R,48.7 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 48.7 Ω 1% 0603 75V,Panasonic,ERJ-3EKF48R7V,1%,100 ppm/°C,75V,0603,1608,ERJ-3EKF,https://www.trustedparts.com/en/search/ERJ-3EKF48R7V
R_ERJ-6ENF48R7V,R,48.7 Ω,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 48.7 Ω 1% 0805 150V,Panasonic,ERJ-6ENF48R7V,1%,100 ppm/°C,150V,0805,2012,ERJ-6ENF,https://www.trustedparts.com/en/search/ERJ-6ENF48R7V
R_ERJ-P08F48R7V,R,48.7 Ω,resistor_footprints:R_1206_3216Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf,RES SMD 48.7 Ω 1% 1206 500V,Panasonic,ERJ-P08F48R7V,1%,100 ppm/°C,500V,1206,3216,ERJ-P08F,https://www.trustedparts.com/en/search/ERJ-P08F48R7V
R_ERJ-P06F48R7V,R,48.7 Ω,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf,RES SMD 48.7 Ω 1% 0805 400V,Panasonic,ERJ-P06F48R7V,1%,100 ppm/°C,400V,0805,2012,ERJ-P06F,https://www.trustedparts.com/en/search/ERJ-P06F48R7V
R_ERJ-P03F48R7V,R,48.7 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf,RES SMD 48.7 Ω 1% 0603 150V,Panasonic,ERJ-P03F48R7V,1%,150 ppm/°C,150V,0603,1608,ERJ-P03F,https://www.trustedparts.com/en/search/ERJ-P03F48R7V
R_RT0805BRB0748R7L,R,48.7 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRB0748R7L,RES SMD 48.7 Ω 0.1% 0805 150V,Yageo,RT0805BRB0748R7L,0.1%,10 ppm/°C,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB0748R7L
R_RT0805BRC0748R7L,R,48.7 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRC0748R7L,RES SMD 48.7 Ω 0.1% 0805 150V,Yageo,RT0805BRC0748R7L,0.1%,15 ppm/°C,150V,0805,2012,RT0805BRC07,https://www.trustedparts.com/en/search/RT0805BRC0748R7L
R_RT0805BRD0748R7L,R,48.7 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD0748R7L,RES SMD 48.7 Ω 0.1% 0805 150V,Yageo,RT0805BRD0748R7L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD0748R7L
R_RT0805BRE0748R7L,R,48.7 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRE0748R7L,RES SMD 48.7 Ω 0.1% 0805 150V,Yageo,RT0805BRE0748R7L,0.1%,50 ppm/°C,150V,0805,2012,RT0805BRE07,https://www.trustedparts.com/en/search/RT0805BRE0748R7L
R_RT0805DRE0748R7L,R,48.7 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE0748R7L,RES SMD 48.7 Ω 0.5% 0805 150V,Yageo,RT0805DRE0748R7L,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE0748R7L
