Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search
C_GCM188R71H123KA37D,C,12 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H123KA37-01.pdf,CAP SMD 12 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H123KA37D,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H123KA37D
C_GCM188R71H123KA37J,C,12 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H123KA37-01.pdf,CAP SMD 12 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H123KA37J,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H123KA37J
C_GCM216R71H123KA37D,C,12 nF,capacitor_footprints:C_0805_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H123KA37-01.pdf,CAP SMD 12 nF X7R 10% 0805 50V,Murata Electronics,GCM216R71H123KA37D,X7R,10%,50V,0805,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H123KA37D
C_GCM216R71H123KA37J,C,12 nF,capacitor_footprints:C_0805_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H123KA37-01.pdf,CAP SMD 12 nF X7R 10% 0805 50V,Murata Electronics,GCM216R71H123KA37J,X7R,10%,50V,0805,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H123KA37J
C_VJ0603Y123KXBAC,C,12 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 12 nF X7R 10% 0603 100V,Vishay,VJ0603Y123KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y123KXBAC
C_GCM155R71H153KA55D,C,15 nF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H153KA55-01.pdf,CAP SMD 15 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H153KA55D,X7R,10%,50V,0402,1005,GCM155R71H,https://www.trustedparts.com/en/search/GCM155R71H153KA55D
C_GCM155R71H153KA55J,C,15 nF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H153KA55-01.pdf,CAP SMD 15 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H153KA55J,X7R,10%,50V,0402,1005,GCM155R71H,https://www.trustedparts.com/en/search/GCM155R71H153KA55J
C_GCM188R71H153KA37D,C,15 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H153KA37-01.pdf,CAP SMD 15 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H153KA37D,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H153KA37D
C_GCM188R71H153KA37J,C,15 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H153KA37-01.pdf,CAP SMD 15 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H153KA37J,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H153KA37J
C_GCM216R71H153KA37D,C,15 nF,capacitor_footprints:C_0805_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H153KA37-01.pdf,CAP SMD 15 nF X7R 10% 0805 50V,Murata Electronics,GCM216R71H153KA37D,X7R,10%,50V,0805,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H153KA37D
