Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Capacitor Type,3dviewer Link
C_GCM1555C1H8R0FA16D,C,8 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H8R0FA16-01.pdf,CAP SMD 8 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GCM1555C1H8R0FA16D,C0G (NP0),1%,50V,0402,1005,GCM1555C1H,https://www.trustedparts.com/en/search/GCM1555C1H8R0FA16D,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0402.step
C_GCM1555C1H8R0FA16J,C,8 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H8R0FA16-01.pdf,CAP SMD 8 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GCM1555C1H8R0FA16J,C0G (NP0),1%,50V,0402,1005,GCM1555C1H,https://www.trustedparts.com/en/search/GCM1555C1H8R0FA16J,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0402.step
C_GCM1555C1H100FA16D,C,10 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H100FA16-01.pdf,CAP SMD 10 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GCM1555C1H100FA16D,C0G (NP0),1%,50V,0402,1005,GCM1555C1H,https://www.trustedparts.com/en/search/GCM1555C1H100FA16D,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0402.step
C_GCM1555C1H100FA16J,C,10 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H100FA16-01.pdf,CAP SMD 10 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GCM1555C1H100FA16J,C0G (NP0),1%,50V,0402,1005,GCM1555C1H,https://www.trustedparts.com/en/search/GCM1555C1H100FA16J,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0402.step
C_GCM1555C1H110FA16D,C,11 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H110FA16-01.pdf,CAP SMD 11 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GCM1555C1H110FA16D,C0G (NP0),1%,50V,0402,1005,GCM1555C1H,https://www.trustedparts.com/en/search/GCM1555C1H110FA16D,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0402.step
C_GCM1555C1H110FA16J,C,11 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H110FA16-01.pdf,CAP SMD 11 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GCM1555C1H110FA16J,C0G (NP0),1%,50V,0402,1005,GCM1555C1H,https://www.trustedparts.com/en/search/GCM1555C1H110FA16J,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0402.step
C_GCM1555C1H120FA16D,C,12 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H120FA16-01.pdf,CAP SMD 12 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GCM1555C1H120FA16D,C0G (NP0),1%,50V,0402,1005,GCM1555C1H,https://www.trustedparts.com/en/search/GCM1555C1H120FA16D,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0402.step
C_GCM1555C1H120FA16J,C,12 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H120FA16-01.pdf,CAP SMD 12 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GCM1555C1H120FA16J,C0G (NP0),1%,50V,0402,1005,GCM1555C1H,https://www.trustedparts.com/en/search/GCM1555C1H120FA16J,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0402.step
C_GCM1555C1H130FA16D,C,13 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H130FA16-01.pdf,CAP SMD 13 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GCM1555C1H130FA16D,C0G (NP0),1%,50V,0402,1005,GCM1555C1H,https://www.trustedparts.com/en/search/GCM1555C1H130FA16D,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0402.step
C_GCM1555C1H130FA16J,C,13 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H130FA16-01.pdf,CAP SMD 13 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GCM1555C1H130FA16J,C0G (NP0),1%,50V,0402,1005,GCM1555C1H,https://www.trustedparts.com/en/search/GCM1555C1H130FA16J,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0402.step
